"session_user_id","access_group_id","submission_time","submission_id","d04cfc539df5644c1031d66b70f1cd31_54001468354278f7916ba17720807d40","d04cfc539df5644c1031d66b70f1cd31_83eb3d85e513fa2f21415706e35fbc9f","d04cfc539df5644c1031d66b70f1cd31_8c3b1a568f7006c68c39a191aca42916","d04cfc539df5644c1031d66b70f1cd31_ca110f29b4e1bdd8e130fb90606634b0","d04cfc539df5644c1031d66b70f1cd31_f49220e95ad6c3bf80d74a42c5a5db8f","157a512cb510d50ca92bff9fdb20d997_a55bfd5253a6dcd53d502071e70e9199","157a512cb510d50ca92bff9fdb20d997_b0b3d1559009c5878d095f95436eae01","157a512cb510d50ca92bff9fdb20d997_2556401ebd2fb47185f1e05ac74a64d1","157a512cb510d50ca92bff9fdb20d997_8ff1b1a358963894c731ce0be77168dc","157a512cb510d50ca92bff9fdb20d997_02a913949baa00f44e8ea0704fcd20ef","d0f97547e80fca82acefa0628faf70df_db903affc6e160023e5888169991195c","d0f97547e80fca82acefa0628faf70df_1eabf84be2b40c98af16621ec3e4ee6f","d0f97547e80fca82acefa0628faf70df_bcdd4b33b784ba04aafba76946e65ae5","d0f97547e80fca82acefa0628faf70df_1c1d42898ea7d3efb30b91cb2c05c503","d0f97547e80fca82acefa0628faf70df_f45b4677ba50ae96c641220cad37fb62","0a777fe10ee5d4e99b77ef97f29a043e_3a6b0d8e51961ce920eef50f903860b2","0a777fe10ee5d4e99b77ef97f29a043e_5b289b257c989211febb24e003d865cc","0a777fe10ee5d4e99b77ef97f29a043e_bb88cdc939c92b9dbb59fde0257af9fc","0a777fe10ee5d4e99b77ef97f29a043e_7860584e6283a9be885581f6a314d435","0a777fe10ee5d4e99b77ef97f29a043e_7bfddff3286f851ae913021c11606e0d","1cd87d197edece41ff14f9fcc83cf462_c1c31258560c1a4cba4131bb91e0e4a0","1cd87d197edece41ff14f9fcc83cf462_1f8b7791d63efb06560e9681e781568b","1cd87d197edece41ff14f9fcc83cf462_0e3c7065ef9a144ba4b706afc211e428","1cd87d197edece41ff14f9fcc83cf462_3f81f32804e58211a80a78754d1204a9","1cd87d197edece41ff14f9fcc83cf462_89b521f6f996160aa83eba239c460690","4baa6b71ef3ecafd3018ddc06e39a1de_13b318e1bf190996946c94313bac798d","4baa6b71ef3ecafd3018ddc06e39a1de_55726dd1ec16e3fb45a8587fa5ce39eb","4baa6b71ef3ecafd3018ddc06e39a1de_00abde09a2729c87964b506dbd0c460b","4baa6b71ef3ecafd3018ddc06e39a1de_c73281b30c199caf6bb5636de30035e8","4baa6b71ef3ecafd3018ddc06e39a1de_ec80577ac828eedf25cefefa3bc9e5d1","363d271329a55005ea171f84913b65a3_61670458cd9bfd6edd81b7e8370c1dbd","363d271329a55005ea171f84913b65a3_7e72d2462b3d24b8d371c18f9e736ee8","363d271329a55005ea171f84913b65a3_2950482ebacdc37781d0e08178ac5ef8","363d271329a55005ea171f84913b65a3_666786f1c2eab95eaf865638ba75355d","363d271329a55005ea171f84913b65a3_d1a36b3c621cc7ccb1e908dc965bf53e","363d271329a55005ea171f84913b65a3_50066f357da1c6ad825c84a97069ad8d","363d271329a55005ea171f84913b65a3_1f37cf453475ac031326a096c6a888fc","363d271329a55005ea171f84913b65a3_f313d5a8406cceb4928e0c6d84664f0c","600c67de5d63f112518353726fb86434_0cba7ea08f76185a2a6b70d560fe5951","600c67de5d63f112518353726fb86434_90bde39db505be442b19f097992f5993","600c67de5d63f112518353726fb86434_7e36a08f0ba3d14905a2d12d0a2dad32","600c67de5d63f112518353726fb86434_b148e476589880da2a9ec7e942cf622f","600c67de5d63f112518353726fb86434_1274e2a34a29976720c3b4128de17e44","600c67de5d63f112518353726fb86434_dbdd17071beda6a28d28fde76dda2bae","c4c625dd288ca1608158888c39aba325_b93118106df18596a520421c252d2e63","c4c625dd288ca1608158888c39aba325_554ff6436fd23aa28c8c0467298c933a","c4c625dd288ca1608158888c39aba325_70e00949f7b3c62d67d31c5aeddfb88b","c4c625dd288ca1608158888c39aba325_5fb1101d971bf2f43532936144739d73","c4c625dd288ca1608158888c39aba325_5db87ec61fcd717b3b6e8f6a83f5b8ee","c4c625dd288ca1608158888c39aba325_a8cba838c206c7692500536289153243","c4c625dd288ca1608158888c39aba325_83c39ad525dbd7f15d67568e81559869","86114969e67a0b710e1a9854ad69fbe9_65112c0db0c6bf3b8e466d9e31f38eaf","86114969e67a0b710e1a9854ad69fbe9_4886f58e1f4d7998adc48abda20299eb","86114969e67a0b710e1a9854ad69fbe9_0fbfe9efa7c5ff62e78771cc13f73334","86114969e67a0b710e1a9854ad69fbe9_ddd4c8deeb9f07faad81e6a1416f03e1","86114969e67a0b710e1a9854ad69fbe9_e850d80a3548b18f2ae2d43c8554e23f","fb409f09dabd9699bf7dc12f20835376_5b985fc36abf0b2f92f6464be12fe696","fb409f09dabd9699bf7dc12f20835376_6f6991432c4d0c49ce15da0b92ec164a","fb409f09dabd9699bf7dc12f20835376_f548a06eb6785edf35c2798b124eb9e2","fb409f09dabd9699bf7dc12f20835376_33cb3b8ba0a3a6769f57914eec2ae4bb"
"1380",NA,NA,"3","1","0","NULL","0","0","1","0","NULL","0","0","1","0","NULL","0","0","1","0","NULL","0","0","1","0","NULL","0","0","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","0","NULL","0","0","NULL","1","0","0","NULL","NULL","0","0","0","0","NULL","NULL","NULL","1","1","0","NULL","0","0","1","0","0","0"
"558",NA,NA,"1","1","NULL","0","0","0","1","NULL","0","0","0","1","NULL","0","0","0","1","NULL","0","0","0","0","NULL","0","0","0","1","NULL","NULL","NULL","NULL","1","0","NULL","0","0","NULL","NULL","NULL","1","0","0","NULL","0","NULL","NULL","0","0","NULL","NULL","0","1","1","NULL","0","0","0","1","0","0","0"
"324",NA,NA,"1","1","0","0","0","NULL","1","0","0","0","NULL","1","0","0","0","NULL","1","0","0","0","NULL","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","0","0","0","NULL","NULL","0","NULL","NULL","0","0","0","NULL","NULL","0","0","NULL","0","NULL","NULL","0","0","0","0","0","0","NULL","0","0","0","0"
"324",NA,NA,"2","1","0","0","0","NULL","1","0","0","0","NULL","1","0","0","0","NULL","0","0","1","0","NULL","1","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","NULL","0","1","0","NULL","NULL","1","0","0","NULL","NULL","0","NULL","0","NULL","1","NULL","0","0","0","0","1","0","NULL","0","0","1","0"
"348",NA,NA,"1","1","0","NULL","0","0","0","1","NULL","0","0","1","0","NULL","0","0","1","0","NULL","0","0","1","0","NULL","0","0","NULL","NULL","NULL","NULL","NULL","0","NULL","NULL","0","1","NULL","NULL","0","1","0","NULL","0","NULL","0","0","0","NULL","0","NULL","NULL","1","1","0","NULL","0","0","1","0","0","0"
"348",NA,NA,"2","1","NULL","0","0","0","1","NULL","0","0","0","1","NULL","0","0","0","1","NULL","0","0","0","1","NULL","0","0","0","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","0","NULL","NULL","1","1","0","0","NULL","0","NULL","NULL","0","NULL","NULL","0","0","1","1","NULL","0","0","0","1","0","0","0"
"310",NA,NA,"1","1","0","0","0","NULL","0","1","0","0","NULL","1","0","0","0","NULL","0","1","0","0","NULL","1","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","1","NULL","0","NULL","NULL","0","NULL","0","0","NULL","1","NULL","NULL","NULL","0","0","0","1","1","0","0","0","NULL","1","0","0","0"
"310",NA,NA,"2","1","NULL","0","0","0","1","NULL","0","0","0","1","NULL","0","0","0","1","NULL","0","0","0","0","NULL","0","0","0","1","NULL","NULL","NULL","NULL","1","NULL","NULL","0","NULL","0","NULL","0","1","NULL","0","0","0","NULL","NULL","NULL","0","0","0","NULL","1","1","NULL","0","0","0","1","0","0","0"
"980",NA,NA,"1","0","0","0","NULL","0","0","0","0","NULL","1","0","0","1","NULL","0","0","0","1","NULL","0","1","0","0","NULL","0","NULL","NULL","NULL","NULL","NULL","0","1","NULL","NULL","NULL","0","0","NULL","0","1","0","NULL","NULL","0","0","NULL","0","NULL","NULL","0","1","1","0","0","NULL","0","0","0","1","0"
"1454",NA,NA,"1","1","0","NULL","0","0","0","0","NULL","1","0","1","0","NULL","0","0","0","0","NULL","0","1","1","0","NULL","0","0","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","1","NULL","NULL","0","1","NULL","0","NULL","0","0","0","NULL","0","NULL","0","NULL","1","1","0","NULL","0","0","1","0","0","0"
"176",NA,NA,"1","0","1","NULL","0","0","0","0","NULL","0","1","1","0","NULL","0","0","1","0","NULL","0","0","1","0","NULL","0","0","NULL","NULL","NULL","NULL","NULL","0","1","NULL","NULL","NULL","NULL","0","0","1","NULL","0","0","0","NULL","NULL","NULL","NULL","0","0","0","1","1","0","NULL","0","0","1","0","0","0"
"1603",NA,NA,"1","1","NULL","0","0","0","1","NULL","0","0","0","1","NULL","0","0","0","1","NULL","0","0","0","0","NULL","0","0","0","1","NULL","NULL","NULL","NULL","0","NULL","0","NULL","1","0","NULL","NULL","1","NULL","0","0","NULL","0","NULL","0","0","0","NULL","NULL","1","1","NULL","0","0","0","1","0","0","0"
"1603",NA,NA,"2","1","0","0","NULL","0","1","0","0","NULL","0","1","0","0","NULL","0","1","0","0","NULL","0","1","0","0","NULL","0","NULL","NULL","NULL","NULL","NULL","1","0","0","NULL","NULL","0","NULL","NULL","1","NULL","0","NULL","0","0","NULL","NULL","NULL","0","0","0","1","1","0","0","NULL","0","1","0","0","0"
"284",NA,NA,"1","1","0","NULL","0","0","1","0","NULL","0","0","1","0","NULL","0","0","1","0","NULL","0","0","1","0","NULL","0","0","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","0","NULL","NULL","0","0","0","NULL","0","0","NULL","1","NULL","NULL","NULL","0","0","0","1","0","0","NULL","0","0","1","0","0","0"
"284",NA,NA,"2","1","0","NULL","0","0","1","0","NULL","0","0","1","0","NULL","0","0","1","0","NULL","0","0","0","0","NULL","0","0","1","NULL","NULL","NULL","NULL","1","0","NULL","0","NULL","NULL","0","NULL","1","0","0","NULL","0","NULL","0","NULL","0","NULL","0","NULL","1","0","1","NULL","0","0","1","0","0","0"
"284",NA,NA,"3","1","0","0","NULL","0","1","0","0","NULL","0","1","0","0","NULL","0","1","0","0","NULL","0","0","0","0","NULL","0","1","NULL","NULL","NULL","NULL","1","NULL","0","NULL","NULL","0","0","NULL","0","1","NULL","0","0","NULL","0","0","NULL","0","NULL","NULL","1","1","0","0","NULL","0","1","0","0","0"
"284",NA,NA,"4","1","0","0","0","NULL","1","0","0","0","NULL","1","0","0","0","NULL","1","0","0","0","NULL","0","0","0","0","NULL","1","NULL","NULL","NULL","NULL","1","0","NULL","NULL","0","NULL","0","NULL","1","0","0","NULL","0","NULL","NULL","0","0","NULL","0","NULL","1","1","0","0","0","NULL","1","0","0","0"
"232",NA,NA,"1","1","0","NULL","0","0","0","1","NULL","0","0","0","0","NULL","0","1","0","0","NULL","1","0","0","0","NULL","1","0","NULL","NULL","NULL","NULL","NULL","0","NULL","NULL","1","0","NULL","NULL","0","1","0","0","NULL","0","NULL","0","0","NULL","NULL","0","NULL","1","0","0","NULL","0","1","0","0","0","1"
"232",NA,NA,"2","1","NULL","0","0","0","1","NULL","0","0","0","0","NULL","0","1","0","1","NULL","0","0","0","0","NULL","0","0","0","1","NULL","NULL","NULL","NULL","1","0","NULL","NULL","NULL","0","0","NULL","1","NULL","0","NULL","0","0","0","NULL","0","NULL","0","NULL","1","0","NULL","0","1","0","0","1","0","0"
"232",NA,NA,"3","1","NULL","0","0","0","1","NULL","0","0","0","1","NULL","0","0","0","1","NULL","0","0","0","0","NULL","0","0","0","1","NULL","NULL","NULL","NULL","1","NULL","0","0","NULL","0","NULL","NULL","1","0","NULL","0","0","NULL","NULL","0","0","0","NULL","NULL","1","1","NULL","0","0","0","0","0","1","0"
"232",NA,NA,"4","1","0","0","NULL","0","1","0","0","NULL","0","1","0","0","NULL","0","1","0","0","NULL","0","1","0","0","NULL","0","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","0","0","NULL","0","1","0","NULL","0","NULL","0","NULL","0","NULL","0","NULL","0","1","1","0","0","NULL","0","1","0","0","0"
"1423",NA,NA,"1","0","0","NULL","0","1","0","1","NULL","0","0","0","1","NULL","0","0","0","0","NULL","0","0","0","0","NULL","0","0","1","NULL","NULL","NULL","NULL","1","NULL","NULL","0","NULL","NULL","0","0","1","0","0","0","NULL","NULL","0","0","NULL","0","NULL","NULL","1","0","0","NULL","1","0","0","1","0","0"
"1423",NA,NA,"2","0","0","1","NULL","0","0","1","0","NULL","0","0","0","1","NULL","0","0","0","1","NULL","0","0","0","0","NULL","0","1","NULL","NULL","NULL","NULL","1","NULL","0","0","0","NULL","NULL","NULL","1","0","0","0","NULL","NULL","0","0","0","NULL","NULL","NULL","1","0","0","1","NULL","0","0","0","0","1"
"1423",NA,NA,"3","1","NULL","0","0","0","1","NULL","0","0","0","0","NULL","0","0","1","1","NULL","0","0","0","0","NULL","0","0","0","1","NULL","NULL","NULL","NULL","1","NULL","NULL","0","NULL","0","NULL","0","1","NULL","0","0","NULL","0","NULL","NULL","0","0","NULL","0","1","1","NULL","0","0","0","1","0","0","0"
"922",NA,NA,"1","1","0","0","NULL","0","1","0","0","NULL","0","1","0","0","NULL","0","1","0","0","NULL","0","0","0","0","NULL","0","1","NULL","NULL","NULL","NULL","0","0","NULL","NULL","0","NULL","1","NULL","1","0","0","NULL","0","NULL","NULL","0","0","NULL","0","NULL","1","1","0","0","NULL","0","1","0","0","0"
"1212",NA,NA,"1","1","0","NULL","0","0","0","0","NULL","0","1","1","0","NULL","0","0","1","0","NULL","0","0","1","0","NULL","0","0","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","0","0","NULL","0","NULL","0","NULL","0","0","1","NULL","0","NULL","0","NULL","0","NULL","1","1","0","NULL","0","0","1","0","0","0"
"1212",NA,NA,"2","1","0","0","0","NULL","1","0","0","0","NULL","1","0","0","0","NULL","1","0","0","0","NULL","1","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","0","NULL","NULL","0","0","NULL","1","0","0","NULL","NULL","0","0","0","NULL","NULL","NULL","0","1","1","0","0","0","NULL","1","0","0","0"
"317",NA,NA,"1","1","NULL","0","0","0","1","NULL","0","0","0","1","NULL","0","0","0","1","NULL","0","0","0","0","NULL","0","0","0","1","NULL","NULL","NULL","NULL","0","NULL","0","NULL","1","NULL","NULL","0","1","0","0","NULL","0","NULL","0","NULL","0","NULL","0","NULL","1","1","NULL","0","0","0","1","0","0","0"
"1660",NA,NA,"1","1","0","0","0","NULL","0","1","0","0","NULL","1","0","0","0","NULL","0","1","0","0","NULL","0","0","0","0","NULL","1","NULL","NULL","NULL","NULL","0","0","0","NULL","NULL","1","NULL","NULL","0","1","0","NULL","0","NULL","0","NULL","0","NULL","0","NULL","1","1","0","0","0","NULL","1","0","0","0"
"1089",NA,NA,"1","1","0","0","NULL","0","1","0","0","NULL","0","1","0","0","NULL","0","1","0","0","NULL","0","0","0","0","NULL","0","1","NULL","NULL","NULL","NULL","1","0","0","NULL","NULL","0","NULL","NULL","1","NULL","NULL","0","0","0","NULL","NULL","NULL","0","0","0","1","1","0","0","NULL","0","1","0","0","0"
"997",NA,NA,"1","1","0","0","0","NULL","1","0","0","0","NULL","1","0","0","0","NULL","1","0","0","0","NULL","1","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","1","0","0","NULL","0","NULL","NULL","NULL","1","NULL","0","NULL","0","0","NULL","0","0","NULL","NULL","0","1","1","0","0","0","NULL","1","0","0","0"
"688",NA,NA,"1","1","0","0","NULL","0","1","0","0","NULL","0","0","1","0","NULL","0","1","0","0","NULL","0","1","0","0","NULL","0","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","0","NULL","1","1","NULL","0","0","0","NULL","NULL","0","0","NULL","0","NULL","1","1","0","0","NULL","0","1","0","0","0"
"688",NA,NA,"2","1","0","0","NULL","0","1","0","0","NULL","0","1","0","0","NULL","0","1","0","0","NULL","0","1","0","0","NULL","0","NULL","NULL","NULL","NULL","NULL","1","0","NULL","NULL","NULL","NULL","0","0","1","0","NULL","NULL","0","0","NULL","0","0","NULL","NULL","0","1","1","0","0","NULL","0","1","0","0","0"
"1752",NA,NA,"1","1","NULL","0","0","0","1","NULL","0","0","0","1","NULL","0","0","0","0","NULL","1","0","0","0","NULL","0","0","0","NULL","NULL","NULL","1","NULL","0","NULL","NULL","NULL","NULL","0","1","0","1","NULL","NULL","0","0","0","0","NULL","NULL","1","0","NULL","0","1","NULL","0","0","0","0","1","0","0"
"1752",NA,NA,"2","1","0","0","NULL","0","1","0","0","NULL","0","1","0","0","NULL","0","1","0","0","NULL","0","0","0","1","NULL","0","NULL","NULL","NULL","NULL","NULL","0","0","0","NULL","NULL","NULL","NULL","1","1","0","0","NULL","NULL","0","NULL","NULL","0","NULL","1","0","0","1","0","0","NULL","0","0","0","1","0"
"1752",NA,NA,"3","1","NULL","0","0","0","1","NULL","0","0","0","1","NULL","0","0","0","1","NULL","0","0","0","1","NULL","0","0","0","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","1","NULL","0","1","0","0","NULL","0","NULL","0","0","0","NULL","NULL","NULL","1","1","NULL","0","0","0","1","0","0","0"
"1248",NA,NA,"1","1","0","NULL","0","0","1","0","NULL","0","0","1","0","NULL","0","0","1","0","NULL","0","0","0","0","NULL","0","0","1","NULL","NULL","NULL","NULL","1","0","NULL","NULL","NULL","NULL","0","0","1","0","0","NULL","0","NULL","NULL","0","0","NULL","NULL","0","1","1","0","NULL","0","0","1","0","0","0"
"1767",NA,NA,"1","1","0","0","NULL","0","1","0","0","NULL","0","1","0","0","NULL","0","0","0","0","NULL","1","0","0","0","NULL","0","1","NULL","NULL","NULL","NULL","1","NULL","0","NULL","0","NULL","NULL","0","0","0","NULL","0","NULL","1","0","0","NULL","NULL","NULL","0","1","1","0","0","NULL","0","1","0","0","0"
"1348",NA,NA,"1","1","NULL","0","0","0","1","NULL","0","0","0","0","NULL","0","1","0","0","NULL","0","0","1","0","NULL","0","0","0","NULL","NULL","1","NULL","NULL","0","NULL","0","NULL","NULL","NULL","0","1","1","0","NULL","0","0","NULL","NULL","0","0","NULL","0","NULL","1","0","NULL","1","0","0","1","0","0","0"
"845",NA,NA,"1","1","0","0","NULL","0","1","0","0","NULL","0","1","0","0","NULL","0","1","0","0","NULL","0","0","0","0","NULL","0","1","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","0","0","0","NULL","1","NULL","0","0","0","NULL","0","NULL","0","0","NULL","NULL","1","1","0","0","NULL","0","1","0","0","0"
"126",NA,NA,"1","1","0","0","0","NULL","1","0","0","0","NULL","1","0","0","0","NULL","1","0","0","0","NULL","0","0","0","0","NULL","1","NULL","NULL","NULL","NULL","0","0","NULL","NULL","1","0","NULL","NULL","0","NULL","0","NULL","0","0","NULL","NULL","0","NULL","0","0","1","1","0","0","0","NULL","0","0","1","0"
"1172",NA,NA,"1","1","0","NULL","0","0","1","0","NULL","0","0","1","0","NULL","0","0","1","0","NULL","0","0","1","0","NULL","0","0","NULL","NULL","NULL","NULL","NULL","1","0","NULL","0","NULL","NULL","NULL","0","1","NULL","0","0","NULL","0","NULL","NULL","NULL","0","0","0","1","1","0","NULL","0","0","1","0","0","0"
"652",NA,NA,"1","1","NULL","0","0","0","1","NULL","0","0","0","1","NULL","0","0","0","1","NULL","0","0","0","0","NULL","0","0","0","1","NULL","NULL","NULL","NULL","0","NULL","NULL","NULL","0","0","1","NULL","1","NULL","0","0","0","NULL","NULL","NULL","0","0","0","NULL","1","0","NULL","1","0","0","1","0","0","0"
"1178",NA,NA,"1","1","0","0","NULL","0","1","0","0","NULL","0","1","0","0","NULL","0","1","0","0","NULL","0","0","0","0","NULL","0","NULL","NULL","1","NULL","NULL","0","NULL","0","NULL","1","NULL","NULL","0","1","0","0","NULL","NULL","0","0","0","NULL","NULL","NULL","0","1","1","0","0","NULL","0","1","0","0","0"
"1178",NA,NA,"2","1","0","NULL","0","0","1","0","NULL","0","0","1","0","NULL","0","0","1","0","NULL","0","0","1","0","NULL","0","0","NULL","NULL","NULL","NULL","NULL","0","NULL","NULL","NULL","0","NULL","0","1","1","NULL","0","0","NULL","0","0","NULL","0","0","NULL","NULL","1","1","0","NULL","0","0","1","0","0","0"
"1178",NA,NA,"3","1","NULL","0","0","0","1","NULL","0","0","0","1","NULL","0","0","0","1","NULL","0","0","0","0","NULL","0","0","0","1","NULL","NULL","NULL","NULL","1","NULL","0","0","NULL","NULL","NULL","0","1","NULL","NULL","0","0","0","0","NULL","NULL","0","NULL","0","1","1","NULL","0","0","0","1","0","0","0"
"1120",NA,NA,"1","1","0","0","0","NULL","0","0","1","0","NULL","1","0","0","0","NULL","1","0","0","0","NULL","1","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","0","NULL","1","1","0","0","NULL","NULL","0","0","0","NULL","NULL","NULL","0","1","1","0","0","0","NULL","1","0","0","0"
"1120",NA,NA,"2","1","NULL","0","0","0","0","NULL","0","0","1","1","NULL","0","0","0","1","NULL","0","0","0","0","NULL","0","0","0","1","NULL","NULL","NULL","NULL","0","0","NULL","NULL","NULL","1","NULL","0","1","NULL","0","0","0","NULL","0","NULL","0","0","NULL","NULL","1","1","NULL","0","0","0","1","0","0","0"
"1120",NA,NA,"3","1","0","0","NULL","0","1","0","0","NULL","0","1","0","0","NULL","0","1","0","0","NULL","0","1","0","0","NULL","0","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","0","0","NULL","0","1","0","NULL","NULL","0","0","0","0","NULL","NULL","0","NULL","1","1","0","0","NULL","0","1","0","0","0"
"303",NA,NA,"1","1","NULL","0","0","0","1","NULL","0","0","0","1","NULL","0","0","0","1","NULL","0","0","0","0","NULL","0","0","0","1","NULL","NULL","NULL","NULL","1","NULL","0","NULL","0","NULL","NULL","0","1","0","0","NULL","0","NULL","NULL","0","NULL","0","0","NULL","1","0","NULL","1","0","0","1","0","0","0"
"818",NA,NA,"1","1","0","NULL","0","0","0","1","NULL","0","0","1","0","NULL","0","0","1","0","NULL","0","0","1","0","NULL","0","0","NULL","NULL","NULL","NULL","NULL","0","0","0","NULL","NULL","NULL","NULL","1","1","0","0","0","NULL","NULL","0","NULL","0","0","NULL","NULL","1","0","1","NULL","0","0","1","0","0","0"
"818",NA,NA,"2","1","NULL","0","0","0","1","NULL","0","0","0","1","NULL","0","0","0","1","NULL","0","0","0","1","NULL","0","0","0","NULL","NULL","NULL","NULL","NULL","1","0","NULL","0","NULL","NULL","NULL","0","1","0","0","NULL","NULL","0","0","0","NULL","NULL","NULL","0","1","1","NULL","0","0","0","1","0","0","0"
"981",NA,NA,"1","0","0","1","0","NULL","1","0","0","0","NULL","1","0","0","0","NULL","1","0","0","0","NULL","1","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","1","0","NULL","1","0","0","NULL","0","NULL","0","NULL","1","NULL","0","NULL","0","1","0","0","0","NULL","1","0","0","0"
"981",NA,NA,"2","1","0","NULL","0","0","1","0","NULL","0","0","1","0","NULL","0","0","1","0","NULL","0","0","1","0","NULL","0","0","NULL","NULL","NULL","NULL","NULL","1","0","NULL","NULL","NULL","NULL","0","0","1","NULL","0","NULL","0","0","1","NULL","0","NULL","NULL","0","0","1","0","NULL","0","0","1","0","0","0"
"981",NA,NA,"3","1","0","NULL","0","0","1","0","NULL","0","0","1","0","NULL","0","0","1","0","NULL","0","0","0","0","NULL","0","0","NULL","NULL","NULL","NULL","1","1","NULL","0","0","0","NULL","NULL","NULL","1","0","0","NULL","0","NULL","NULL","0","NULL","0","1","NULL","0","1","0","NULL","0","0","1","0","0","0"
"981",NA,NA,"4","1","0","NULL","0","0","1","0","NULL","0","0","1","0","NULL","0","0","1","0","NULL","0","0","1","0","NULL","0","0","NULL","NULL","NULL","NULL","NULL","1","NULL","0","0","0","NULL","NULL","NULL","1","NULL","NULL","0","0","0","NULL","0","NULL","NULL","0","0","1","1","0","NULL","0","0","1","0","0","0"
"1001",NA,NA,"1","1","0","0","0","NULL","1","0","0","0","NULL","1","0","0","0","NULL","1","0","0","0","NULL","0","1","0","0","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","NULL","NULL","NULL","0","0","1","1","NULL","NULL","0","0","0","NULL","NULL","NULL","0","0","0","1","1","0","0","0","NULL","1","0","0","0"
"1001",NA,NA,"2","1","0","NULL","0","0","1","0","NULL","0","0","1","0","NULL","0","0","1","0","NULL","0","0","0","0","NULL","0","0","1","NULL","NULL","NULL","NULL","1","NULL","0","0","NULL","NULL","NULL","0","1","0","NULL","NULL","0","0","0","0","NULL","NULL","NULL","0","1","1","0","NULL","0","0","1","0","0","0"
"1533",NA,NA,"1","1","0","0","NULL","0","1","0","0","NULL","0","1","0","0","NULL","0","0","0","0","NULL","1","0","0","0","NULL","0","1","NULL","NULL","NULL","NULL","0","0","0","NULL","NULL","NULL","NULL","1","1","0","NULL","NULL","0","0","NULL","NULL","0","NULL","0","0","1","0","0","1","NULL","0","1","0","0","0"
"1533",NA,NA,"2","1","NULL","0","0","0","1","NULL","0","0","0","1","NULL","0","0","0","1","NULL","0","0","0","1","NULL","0","0","0","NULL","NULL","NULL","NULL","NULL","1","NULL","0","NULL","0","NULL","0","NULL","1","0","0","NULL","0","NULL","0","0","NULL","NULL","0","NULL","1","1","NULL","0","0","0","0","0","1","0"
"1533",NA,NA,"3","1","0","0","0","NULL","1","0","0","0","NULL","1","0","0","0","NULL","1","0","0","0","NULL","1","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","0","NULL","0","0","NULL","1","NULL","0","0","NULL","0","0","NULL","0","0","NULL","NULL","1","1","0","0","0","NULL","1","0","0","0"
"1340",NA,NA,"1","1","0","0","NULL","0","1","0","0","NULL","0","1","0","0","NULL","0","1","0","0","NULL","0","1","0","0","NULL","0","NULL","NULL","NULL","NULL","NULL","1","NULL","0","NULL","NULL","0","NULL","0","1","0","NULL","0","NULL","0","0","0","NULL","0","NULL","NULL","1","1","0","0","NULL","0","1","0","0","0"
"553",NA,NA,"1","1","0","0","NULL","0","1","0","0","NULL","0","1","0","0","NULL","0","1","0","0","NULL","0","0","0","0","NULL","0","1","NULL","NULL","NULL","NULL","0","0","1","NULL","NULL","0","NULL","NULL","1","NULL","0","0","NULL","0","NULL","NULL","0","0","NULL","0","1","1","0","0","NULL","0","1","0","0","0"
"553",NA,NA,"2","1","0","NULL","0","0","1","0","NULL","0","0","1","0","NULL","0","0","1","0","NULL","0","0","0","0","NULL","0","0","1","NULL","NULL","NULL","NULL","1","NULL","0","NULL","0","0","NULL","NULL","1","NULL","0","NULL","0","0","0","NULL","NULL","NULL","0","0","1","1","0","NULL","0","0","1","0","0","0"
"1477",NA,NA,"1","1","NULL","0","0","0","1","NULL","0","0","0","1","NULL","0","0","0","0","NULL","1","0","0","0","NULL","0","0","0","1","NULL","NULL","NULL","NULL","0","NULL","NULL","NULL","0","NULL","0","1","1","0","0","NULL","NULL","0","NULL","0","NULL","0","NULL","0","1","0","NULL","0","1","0","0","1","0","0"
"1477",NA,NA,"2","1","0","NULL","0","0","1","0","NULL","0","0","1","0","NULL","0","0","1","0","NULL","0","0","0","0","NULL","0","0","1","NULL","NULL","NULL","NULL","0","0","NULL","NULL","NULL","NULL","1","0","1","NULL","0","0","NULL","0","NULL","0","1","0","NULL","NULL","0","0","1","NULL","0","0","1","0","0","0"
